market,trade_date,timezone,is_open,market_open_local,market_close_local,market_open_utc,market_close_utc,is_half_day,session_tag,source,generated_at_utc
CN,2027-01-04,Asia/Shanghai,1,2027-01-04T09:30:00+08:00,2027-01-04T15:00:00+08:00,2027-01-04T01:30:00+00:00,2027-01-04T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-01-05,Asia/Shanghai,1,2027-01-05T09:30:00+08:00,2027-01-05T15:00:00+08:00,2027-01-05T01:30:00+00:00,2027-01-05T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-01-06,Asia/Shanghai,1,2027-01-06T09:30:00+08:00,2027-01-06T15:00:00+08:00,2027-01-06T01:30:00+00:00,2027-01-06T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-01-07,Asia/Shanghai,1,2027-01-07T09:30:00+08:00,2027-01-07T15:00:00+08:00,2027-01-07T01:30:00+00:00,2027-01-07T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-01-08,Asia/Shanghai,1,2027-01-08T09:30:00+08:00,2027-01-08T15:00:00+08:00,2027-01-08T01:30:00+00:00,2027-01-08T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-01-11,Asia/Shanghai,1,2027-01-11T09:30:00+08:00,2027-01-11T15:00:00+08:00,2027-01-11T01:30:00+00:00,2027-01-11T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-01-12,Asia/Shanghai,1,2027-01-12T09:30:00+08:00,2027-01-12T15:00:00+08:00,2027-01-12T01:30:00+00:00,2027-01-12T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-01-13,Asia/Shanghai,1,2027-01-13T09:30:00+08:00,2027-01-13T15:00:00+08:00,2027-01-13T01:30:00+00:00,2027-01-13T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-01-14,Asia/Shanghai,1,2027-01-14T09:30:00+08:00,2027-01-14T15:00:00+08:00,2027-01-14T01:30:00+00:00,2027-01-14T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-01-15,Asia/Shanghai,1,2027-01-15T09:30:00+08:00,2027-01-15T15:00:00+08:00,2027-01-15T01:30:00+00:00,2027-01-15T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-01-18,Asia/Shanghai,1,2027-01-18T09:30:00+08:00,2027-01-18T15:00:00+08:00,2027-01-18T01:30:00+00:00,2027-01-18T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-01-19,Asia/Shanghai,1,2027-01-19T09:30:00+08:00,2027-01-19T15:00:00+08:00,2027-01-19T01:30:00+00:00,2027-01-19T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-01-20,Asia/Shanghai,1,2027-01-20T09:30:00+08:00,2027-01-20T15:00:00+08:00,2027-01-20T01:30:00+00:00,2027-01-20T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-01-21,Asia/Shanghai,1,2027-01-21T09:30:00+08:00,2027-01-21T15:00:00+08:00,2027-01-21T01:30:00+00:00,2027-01-21T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-01-22,Asia/Shanghai,1,2027-01-22T09:30:00+08:00,2027-01-22T15:00:00+08:00,2027-01-22T01:30:00+00:00,2027-01-22T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-01-25,Asia/Shanghai,1,2027-01-25T09:30:00+08:00,2027-01-25T15:00:00+08:00,2027-01-25T01:30:00+00:00,2027-01-25T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-01-26,Asia/Shanghai,1,2027-01-26T09:30:00+08:00,2027-01-26T15:00:00+08:00,2027-01-26T01:30:00+00:00,2027-01-26T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-01-27,Asia/Shanghai,1,2027-01-27T09:30:00+08:00,2027-01-27T15:00:00+08:00,2027-01-27T01:30:00+00:00,2027-01-27T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-01-28,Asia/Shanghai,1,2027-01-28T09:30:00+08:00,2027-01-28T15:00:00+08:00,2027-01-28T01:30:00+00:00,2027-01-28T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-01-29,Asia/Shanghai,1,2027-01-29T09:30:00+08:00,2027-01-29T15:00:00+08:00,2027-01-29T01:30:00+00:00,2027-01-29T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-02-01,Asia/Shanghai,1,2027-02-01T09:30:00+08:00,2027-02-01T15:00:00+08:00,2027-02-01T01:30:00+00:00,2027-02-01T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-02-02,Asia/Shanghai,1,2027-02-02T09:30:00+08:00,2027-02-02T15:00:00+08:00,2027-02-02T01:30:00+00:00,2027-02-02T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-02-03,Asia/Shanghai,1,2027-02-03T09:30:00+08:00,2027-02-03T15:00:00+08:00,2027-02-03T01:30:00+00:00,2027-02-03T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-02-04,Asia/Shanghai,1,2027-02-04T09:30:00+08:00,2027-02-04T15:00:00+08:00,2027-02-04T01:30:00+00:00,2027-02-04T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-02-12,Asia/Shanghai,1,2027-02-12T09:30:00+08:00,2027-02-12T15:00:00+08:00,2027-02-12T01:30:00+00:00,2027-02-12T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-02-15,Asia/Shanghai,1,2027-02-15T09:30:00+08:00,2027-02-15T15:00:00+08:00,2027-02-15T01:30:00+00:00,2027-02-15T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-02-16,Asia/Shanghai,1,2027-02-16T09:30:00+08:00,2027-02-16T15:00:00+08:00,2027-02-16T01:30:00+00:00,2027-02-16T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-02-17,Asia/Shanghai,1,2027-02-17T09:30:00+08:00,2027-02-17T15:00:00+08:00,2027-02-17T01:30:00+00:00,2027-02-17T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-02-18,Asia/Shanghai,1,2027-02-18T09:30:00+08:00,2027-02-18T15:00:00+08:00,2027-02-18T01:30:00+00:00,2027-02-18T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-02-19,Asia/Shanghai,1,2027-02-19T09:30:00+08:00,2027-02-19T15:00:00+08:00,2027-02-19T01:30:00+00:00,2027-02-19T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-02-22,Asia/Shanghai,1,2027-02-22T09:30:00+08:00,2027-02-22T15:00:00+08:00,2027-02-22T01:30:00+00:00,2027-02-22T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-02-23,Asia/Shanghai,1,2027-02-23T09:30:00+08:00,2027-02-23T15:00:00+08:00,2027-02-23T01:30:00+00:00,2027-02-23T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-02-24,Asia/Shanghai,1,2027-02-24T09:30:00+08:00,2027-02-24T15:00:00+08:00,2027-02-24T01:30:00+00:00,2027-02-24T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-02-25,Asia/Shanghai,1,2027-02-25T09:30:00+08:00,2027-02-25T15:00:00+08:00,2027-02-25T01:30:00+00:00,2027-02-25T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-02-26,Asia/Shanghai,1,2027-02-26T09:30:00+08:00,2027-02-26T15:00:00+08:00,2027-02-26T01:30:00+00:00,2027-02-26T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-03-01,Asia/Shanghai,1,2027-03-01T09:30:00+08:00,2027-03-01T15:00:00+08:00,2027-03-01T01:30:00+00:00,2027-03-01T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-03-02,Asia/Shanghai,1,2027-03-02T09:30:00+08:00,2027-03-02T15:00:00+08:00,2027-03-02T01:30:00+00:00,2027-03-02T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-03-03,Asia/Shanghai,1,2027-03-03T09:30:00+08:00,2027-03-03T15:00:00+08:00,2027-03-03T01:30:00+00:00,2027-03-03T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-03-04,Asia/Shanghai,1,2027-03-04T09:30:00+08:00,2027-03-04T15:00:00+08:00,2027-03-04T01:30:00+00:00,2027-03-04T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-03-05,Asia/Shanghai,1,2027-03-05T09:30:00+08:00,2027-03-05T15:00:00+08:00,2027-03-05T01:30:00+00:00,2027-03-05T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-03-08,Asia/Shanghai,1,2027-03-08T09:30:00+08:00,2027-03-08T15:00:00+08:00,2027-03-08T01:30:00+00:00,2027-03-08T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-03-09,Asia/Shanghai,1,2027-03-09T09:30:00+08:00,2027-03-09T15:00:00+08:00,2027-03-09T01:30:00+00:00,2027-03-09T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-03-10,Asia/Shanghai,1,2027-03-10T09:30:00+08:00,2027-03-10T15:00:00+08:00,2027-03-10T01:30:00+00:00,2027-03-10T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
CN,2027-03-11,Asia/Shanghai,1,2027-03-11T09:30:00+08:00,2027-03-11T15:00:00+08:00,2027-03-11T01:30:00+00:00,2027-03-11T07:00:00+00:00,1,,pandas_market_calendars:SSE,2026-03-04T05:31:06+00:00
