market,trade_date,timezone,is_open,market_open_local,market_close_local,market_open_utc,market_close_utc,is_half_day,session_tag,source,generated_at_utc
US,2027-01-04,America/New_York,1,2027-01-04T09:30:00-05:00,2027-01-04T16:00:00-05:00,2027-01-04T14:30:00+00:00,2027-01-04T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-01-05,America/New_York,1,2027-01-05T09:30:00-05:00,2027-01-05T16:00:00-05:00,2027-01-05T14:30:00+00:00,2027-01-05T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-01-06,America/New_York,1,2027-01-06T09:30:00-05:00,2027-01-06T16:00:00-05:00,2027-01-06T14:30:00+00:00,2027-01-06T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-01-07,America/New_York,1,2027-01-07T09:30:00-05:00,2027-01-07T16:00:00-05:00,2027-01-07T14:30:00+00:00,2027-01-07T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-01-08,America/New_York,1,2027-01-08T09:30:00-05:00,2027-01-08T16:00:00-05:00,2027-01-08T14:30:00+00:00,2027-01-08T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-01-11,America/New_York,1,2027-01-11T09:30:00-05:00,2027-01-11T16:00:00-05:00,2027-01-11T14:30:00+00:00,2027-01-11T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-01-12,America/New_York,1,2027-01-12T09:30:00-05:00,2027-01-12T16:00:00-05:00,2027-01-12T14:30:00+00:00,2027-01-12T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-01-13,America/New_York,1,2027-01-13T09:30:00-05:00,2027-01-13T16:00:00-05:00,2027-01-13T14:30:00+00:00,2027-01-13T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-01-14,America/New_York,1,2027-01-14T09:30:00-05:00,2027-01-14T16:00:00-05:00,2027-01-14T14:30:00+00:00,2027-01-14T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-01-15,America/New_York,1,2027-01-15T09:30:00-05:00,2027-01-15T16:00:00-05:00,2027-01-15T14:30:00+00:00,2027-01-15T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-01-19,America/New_York,1,2027-01-19T09:30:00-05:00,2027-01-19T16:00:00-05:00,2027-01-19T14:30:00+00:00,2027-01-19T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-01-20,America/New_York,1,2027-01-20T09:30:00-05:00,2027-01-20T16:00:00-05:00,2027-01-20T14:30:00+00:00,2027-01-20T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-01-21,America/New_York,1,2027-01-21T09:30:00-05:00,2027-01-21T16:00:00-05:00,2027-01-21T14:30:00+00:00,2027-01-21T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-01-22,America/New_York,1,2027-01-22T09:30:00-05:00,2027-01-22T16:00:00-05:00,2027-01-22T14:30:00+00:00,2027-01-22T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-01-25,America/New_York,1,2027-01-25T09:30:00-05:00,2027-01-25T16:00:00-05:00,2027-01-25T14:30:00+00:00,2027-01-25T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-01-26,America/New_York,1,2027-01-26T09:30:00-05:00,2027-01-26T16:00:00-05:00,2027-01-26T14:30:00+00:00,2027-01-26T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-01-27,America/New_York,1,2027-01-27T09:30:00-05:00,2027-01-27T16:00:00-05:00,2027-01-27T14:30:00+00:00,2027-01-27T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-01-28,America/New_York,1,2027-01-28T09:30:00-05:00,2027-01-28T16:00:00-05:00,2027-01-28T14:30:00+00:00,2027-01-28T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-01-29,America/New_York,1,2027-01-29T09:30:00-05:00,2027-01-29T16:00:00-05:00,2027-01-29T14:30:00+00:00,2027-01-29T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-02-01,America/New_York,1,2027-02-01T09:30:00-05:00,2027-02-01T16:00:00-05:00,2027-02-01T14:30:00+00:00,2027-02-01T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-02-02,America/New_York,1,2027-02-02T09:30:00-05:00,2027-02-02T16:00:00-05:00,2027-02-02T14:30:00+00:00,2027-02-02T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-02-03,America/New_York,1,2027-02-03T09:30:00-05:00,2027-02-03T16:00:00-05:00,2027-02-03T14:30:00+00:00,2027-02-03T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
US,2027-02-04,America/New_York,1,2027-02-04T09:30:00-05:00,2027-02-04T16:00:00-05:00,2027-02-04T14:30:00+00:00,2027-02-04T21:00:00+00:00,0,,pandas_market_calendars:NYSE,2026-03-04T05:31:06+00:00
