market,trade_date,timezone,is_open,market_open_local,market_close_local,market_open_utc,market_close_utc,is_half_day,session_tag,source,generated_at_utc
HK,2027-01-04,Asia/Hong_Kong,1,2027-01-04T09:30:00+08:00,2027-01-04T16:00:00+08:00,2027-01-04T01:30:00+00:00,2027-01-04T08:00:00+00:00,0,,pandas_market_calendars:HKEX,2026-03-04T05:31:06+00:00
HK,2027-01-05,Asia/Hong_Kong,1,2027-01-05T09:30:00+08:00,2027-01-05T16:00:00+08:00,2027-01-05T01:30:00+00:00,2027-01-05T08:00:00+00:00,0,,pandas_market_calendars:HKEX,2026-03-04T05:31:06+00:00
HK,2027-01-06,Asia/Hong_Kong,1,2027-01-06T09:30:00+08:00,2027-01-06T16:00:00+08:00,2027-01-06T01:30:00+00:00,2027-01-06T08:00:00+00:00,0,,pandas_market_calendars:HKEX,2026-03-04T05:31:06+00:00
HK,2027-01-07,Asia/Hong_Kong,1,2027-01-07T09:30:00+08:00,2027-01-07T16:00:00+08:00,2027-01-07T01:30:00+00:00,2027-01-07T08:00:00+00:00,0,,pandas_market_calendars:HKEX,2026-03-04T05:31:06+00:00
HK,2027-01-08,Asia/Hong_Kong,1,2027-01-08T09:30:00+08:00,2027-01-08T16:00:00+08:00,2027-01-08T01:30:00+00:00,2027-01-08T08:00:00+00:00,0,,pandas_market_calendars:HKEX,2026-03-04T05:31:06+00:00
HK,2027-01-11,Asia/Hong_Kong,1,2027-01-11T09:30:00+08:00,2027-01-11T16:00:00+08:00,2027-01-11T01:30:00+00:00,2027-01-11T08:00:00+00:00,0,,pandas_market_calendars:HKEX,2026-03-04T05:31:06+00:00
HK,2027-01-12,Asia/Hong_Kong,1,2027-01-12T09:30:00+08:00,2027-01-12T16:00:00+08:00,2027-01-12T01:30:00+00:00,2027-01-12T08:00:00+00:00,0,,pandas_market_calendars:HKEX,2026-03-04T05:31:06+00:00
HK,2027-01-13,Asia/Hong_Kong,1,2027-01-13T09:30:00+08:00,2027-01-13T16:00:00+08:00,2027-01-13T01:30:00+00:00,2027-01-13T08:00:00+00:00,0,,pandas_market_calendars:HKEX,2026-03-04T05:31:06+00:00
HK,2027-01-14,Asia/Hong_Kong,1,2027-01-14T09:30:00+08:00,2027-01-14T16:00:00+08:00,2027-01-14T01:30:00+00:00,2027-01-14T08:00:00+00:00,0,,pandas_market_calendars:HKEX,2026-03-04T05:31:06+00:00
HK,2027-01-15,Asia/Hong_Kong,1,2027-01-15T09:30:00+08:00,2027-01-15T16:00:00+08:00,2027-01-15T01:30:00+00:00,2027-01-15T08:00:00+00:00,0,,pandas_market_calendars:HKEX,2026-03-04T05:31:06+00:00
HK,2027-01-18,Asia/Hong_Kong,1,2027-01-18T09:30:00+08:00,2027-01-18T16:00:00+08:00,2027-01-18T01:30:00+00:00,2027-01-18T08:00:00+00:00,0,,pandas_market_calendars:HKEX,2026-03-04T05:31:06+00:00
HK,2027-01-19,Asia/Hong_Kong,1,2027-01-19T09:30:00+08:00,2027-01-19T16:00:00+08:00,2027-01-19T01:30:00+00:00,2027-01-19T08:00:00+00:00,0,,pandas_market_calendars:HKEX,2026-03-04T05:31:06+00:00
